BatteryVoltage,Flow,site_no,datetime,Precipitation,GageHeight
,0.00,09400815,2018-06-28 19:15,0.00,-0.01
,0.00,09400815,2018-06-28 19:30,0.00,-0.01
,0.00,09400815,2018-06-28 19:45,0.00,-0.01
,0.00,09400815,2018-06-28 20:00,0.00,-0.01
12.8,,09400815,2018-06-28 20:07,,
,0.00,09400815,2018-06-28 20:15,0.00,-0.01
,0.00,09400815,2018-06-28 20:30,0.00,-0.01
,0.00,09400815,2018-06-28 20:45,0.00,-0.01
,0.00,09400815,2018-06-28 21:00,0.00,-0.01
12.8,,09400815,2018-06-28 21:07,,
,0.00,09400815,2018-06-28 21:15,0.00,-0.01
,0.00,09400815,2018-06-28 21:30,0.00,-0.01
,0.00,09400815,2018-06-28 21:45,0.00,-0.01
,0.00,09400815,2018-06-28 22:00,0.00,-0.01
12.7,,09400815,2018-06-28 22:07,,
,0.00,09400815,2018-06-28 22:15,0.00,-0.01
,0.00,09400815,2018-06-28 22:30,0.00,-0.01
,0.00,09400815,2018-06-28 22:45,0.00,-0.01
,0.00,09400815,2018-06-28 23:00,0.00,-0.01
12.7,,09400815,2018-06-28 23:07,,
,0.00,09400815,2018-06-28 23:15,0.00,-0.01
,0.00,09400815,2018-06-28 23:30,0.00,-0.01
,0.00,09400815,2018-06-28 23:45,0.00,-0.01
