BatteryVoltage,Flow,site_no,datetime,Precipitation,GageHeight
,0.00,09400815,2018-07-08 17:15,0.00,-0.01
,0.00,09400815,2018-07-08 17:30,0.00,-0.01
,0.00,09400815,2018-07-08 17:45,0.00,-0.01
,0.00,09400815,2018-07-08 18:00,0.00,-0.01
12.9,,09400815,2018-07-08 18:07,,
,0.00,09400815,2018-07-08 18:15,0.00,-0.01
,0.00,09400815,2018-07-08 18:30,0.00,-0.01
,0.00,09400815,2018-07-08 18:45,0.00,-0.01
,0.00,09400815,2018-07-08 19:00,0.00,-0.01
12.9,,09400815,2018-07-08 19:07,,
,0.00,09400815,2018-07-08 19:15,0.00,-0.01
,0.00,09400815,2018-07-08 19:30,0.00,-0.01
,0.00,09400815,2018-07-08 19:45,0.00,-0.01
,0.00,09400815,2018-07-08 20:00,0.00,-0.01
12.8,,09400815,2018-07-08 20:07,,
,0.00,09400815,2018-07-08 20:15,0.00,-0.01
,0.00,09400815,2018-07-08 20:30,0.00,-0.01
,0.00,09400815,2018-07-08 20:45,0.00,-0.01
,0.00,09400815,2018-07-08 21:00,0.00,-0.01
12.7,,09400815,2018-07-08 21:07,,
,0.00,09400815,2018-07-08 21:15,0.00,-0.01
,0.00,09400815,2018-07-08 21:30,0.00,-0.01
,0.00,09400815,2018-07-08 21:45,0.00,-0.01
,0.00,09400815,2018-07-08 22:00,0.00,-0.01
12.6,,09400815,2018-07-08 22:07,,
,0.00,09400815,2018-07-08 22:15,0.00,-0.01
,0.00,09400815,2018-07-08 22:30,0.00,-0.01
,0.00,09400815,2018-07-08 22:45,0.01,-0.01
,0.00,09400815,2018-07-08 23:00,0.00,-0.01
12.6,,09400815,2018-07-08 23:07,,
,0.00,09400815,2018-07-08 23:15,0.00,-0.01
,0.00,09400815,2018-07-08 23:30,0.00,-0.01
,0.00,09400815,2018-07-08 23:45,0.00,-0.01
